Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Whole-genome sequencing reveals new Alzheimer's disease-associated rare variants in loci related to synaptic function and neuronal development.,Prokopenko D.; Morgan SL.; Mullin K.; Hofmann O.; Chapman B.; Kirchner R.; Amberkar S.; Wohlers I.; Lange C.; Hide W.; Bertram L.; Tanzi RE.,"Genome-wide association studies have led to numerous genetic loci associated with Alzheimer's disease (AD). Whole-genome sequencing (WGS) now permit genome-wide analyses to identify rare variants contributing to AD risk. We performed single-variant and spatial clustering-based testing on rare variants (minor allele frequency ≤1%) in a family-based WGS-based association study of 2,247 subjects from 605 multiplex AD families, followed by replication in 1,669 unrelated individuals. We identified 13 new AD candidate loci that yielded consistent rare-variant signals in discovery and replication cohorts (4 from single-variant, 9 from spatial-clustering), implicating these genes: FNBP1L, SEL1L, LINC00298, PRKCH, C15ORF41, C2CD3, KIF2A, APC, LHX9, NALCN, CTNNA2, SYTL3, CLSTN2. Downstream analyses of these novel loci highlight synaptic function, in contrast to common AD-associated variants, which implicate innate immunity. These loci have not been previously associated with AD, emphasizing the ability of WGS to identify AD-associated rare variants, particularly outside of coding regions.",2020,Nov,medRxiv : the preprint server for health sciences,,,,,10.1101/2020.11.03.20225540,33173892,#1630,Prokopenko 2020,"",""
"Rare variants in the endocytic pathway are associated with Alzheimer's disease, its related phenotypes, and functional consequences.",Zhan L.; Li J.; Jew B.; Sul JH.,"Late-onset Alzheimer's disease (LOAD) is the most common type of dementia causing irreversible brain damage to the elderly and presents a major public health challenge. Clinical research and genome-wide association studies have suggested a potential contribution of the endocytic pathway to AD, with an emphasis on common loci. However, the contribution of rare variants in this pathway to AD has not been thoroughly investigated. In this study, we focused on the effect of rare variants on AD by first applying a rare-variant gene-set burden analysis using genes in the endocytic pathway on over 3,000 individuals with European ancestry from three large whole-genome sequencing (WGS) studies. We identified significant associations of rare-variant burden within the endocytic pathway with AD, which were successfully replicated in independent datasets. We further demonstrated that this endocytic rare-variant enrichment is associated with neurofibrillary tangles (NFTs) and age-related phenotypes, increasing the risk of obtaining severer brain damage, earlier age-at-onset, and earlier age-of-death. Next, by aggregating rare variants within each gene, we sought to identify single endocytic genes associated with AD and NFTs. Careful examination using NFTs revealed one significantly associated gene, ANKRD13D. To identify functional associations, we integrated bulk RNA-Seq data from over 600 brain tissues and found two endocytic expression genes (eGenes), HLA-A and SLC26A7, that displayed significant influences on their gene expressions. Differential expressions between AD patients and controls of these three identified genes were further examined by incorporating scRNA-Seq data from 48 post-mortem brain samples and demonstrated distinct expression patterns across cell types. Taken together, our results demonstrated strong rare-variant effect in the endocytic pathway on AD risk and progression and functional effect of gene expression alteration in both bulk and single-cell resolution, which may bring more insight and serve as valuable resources for future AD genetic studies, clinical research, and therapeutic targeting.",2021,09,PLoS genetics,17,9,e1009772,,10.1371/journal.pgen.1009772,34516545,#1617,Zhan 2021,"",""
Hippocampal transcriptome-wide association study and neurobiological pathway analysis for Alzheimer's disease.,Liu N.; Xu J.; Liu H.; Zhang S.; Li M.; Zhou Y.; Qin W.; Li MJ.; Yu C.;  .,"Genome-wide association studies (GWASs) have identified multiple susceptibility loci for Alzheimer's disease (AD), which is characterized by early and progressive damage to the hippocampus. However, the association of hippocampal gene expression with AD and the underlying neurobiological pathways remain largely unknown. Based on the genomic and transcriptomic data of 111 hippocampal samples and the summary data of two large-scale meta-analyses of GWASs, a transcriptome-wide association study (TWAS) was performed to identify genes with significant associations between hippocampal expression and AD. We identified 54 significantly associated genes using an AD-GWAS meta-analysis of 455,258 individuals; 36 of the genes were confirmed in another AD-GWAS meta-analysis of 63,926 individuals. Fine-mapping models further prioritized 24 AD-related genes whose effects on AD were mediated by hippocampal expression, including APOE and two novel genes (PTPN9 and PCDHA4). These genes are functionally related to amyloid-beta formation, phosphorylation/dephosphorylation, neuronal apoptosis, neurogenesis and telomerase-related processes. By integrating the predicted hippocampal expression and neuroimaging data, we found that the hippocampal expression of QPCTL and ERCC2 showed significant difference between AD patients and cognitively normal elderly individuals as well as correlated with hippocampal volume. Mediation analysis further demonstrated that hippocampal volume mediated the effect of hippocampal gene expression (QPCTL and ERCC2) on AD. This study identifies two novel genes associated with AD by integrating hippocampal gene expression and genome-wide association data and reveals candidate hippocampus-mediated neurobiological pathways from gene expression to AD.",2021,02,PLoS genetics,17,2,e1009363,,10.1371/journal.pgen.1009363,33630843,#1626,Liu 2021,"",""
Genome-wide association study of Alzheimer's disease CSF biomarkers in the EMIF-AD Multimodal Biomarker Discovery dataset.,Hong S.; Prokopenko D.; Dobricic V.; Kilpert F.; Bos I.; Vos SJB.; Tijms BM.; Andreasson U.; Blennow K.; Vandenberghe R.; Cleynen I.; Gabel S.; Schaeverbeke J.; Scheltens P.; Teunissen CE.; Niemantsverdriet E.; Engelborghs S.; Frisoni G.; Blin O.; Richardson JC.; Bordet R.; Molinuevo JL.; Rami L.;  .; Kettunen P.; Wallin A.; Lleó A.; Sala I.; Popp J.; Peyratout G.; Martinez-Lage P.; Tainta M.; Dobson RJB.; Legido-Quigley C.; Sleegers K.; Van Broeckhoven C.; Ten Kate M.; Barkhof F.; Zetterberg H.; Lovestone S.; Streffer J.; Wittig M.; Franke A.; Tanzi RE.; Visser PJ.; Bertram L.,"Alzheimer's disease (AD) is the most prevalent neurodegenerative disorder and the most common form of dementia in the elderly. Susceptibility to AD is considerably determined by genetic factors which hitherto were primarily identified using case-control designs. Elucidating the genetic architecture of additional AD-related phenotypic traits, ideally those linked to the underlying disease process, holds great promise in gaining deeper insights into the genetic basis of AD and in developing better clinical prediction models. To this end, we generated genome-wide single-nucleotide polymorphism (SNP) genotyping data in 931 participants of the European Medical Information Framework Alzheimer's Disease Multimodal Biomarker Discovery (EMIF-AD MBD) sample to search for novel genetic determinants of AD biomarker variability. Specifically, we performed genome-wide association study (GWAS) analyses on 16 traits, including 14 measures derived from quantifications of five separate amyloid-beta (Aβ) and tau-protein species in the cerebrospinal fluid (CSF). In addition to confirming the well-established effects of apolipoprotein E (APOE) on diagnostic outcome and phenotypes related to Aβ42, we detected novel potential signals in the zinc finger homeobox 3 (ZFHX3) for CSF-Aβ38 and CSF-Aβ40 levels, and confirmed the previously described sex-specific association between SNPs in geminin coiled-coil domain containing (GMNC) and CSF-tau. Utilizing the results from independent case-control AD GWAS to construct polygenic risk scores (PRS) revealed that AD risk variants only explain a small fraction of CSF biomarker variability. In conclusion, our study represents a detailed first account of GWAS analyses on CSF-Aβ and -tau-related traits in the EMIF-AD MBD dataset. In subsequent work, we will utilize the genomics data generated here in GWAS of other AD-relevant clinical outcomes ascertained in this unique dataset.",2020,11,Translational psychiatry,10,1,403,,10.1038/s41398-020-01074-z,33223526,#1574,Hong 2020,"",""
Multi-trait association studies discover pleiotropic loci between Alzheimer's disease and cardiometabolic traits.,Bone WP.; Siewert KM.; Jha A.; Klarin D.; Damrauer SM.;  .; Chang KM.; Tsao PS.; Assimes TL.; Ritchie MD.; Voight BF.,"Identification of genetic risk factors that are shared between Alzheimer's disease (AD) and other traits, i.e., pleiotropy, can help improve our understanding of the etiology of AD and potentially detect new therapeutic targets. Previous epidemiological correlations observed between cardiometabolic traits and AD led us to assess the pleiotropy between these traits. We performed a set of bivariate genome-wide association studies coupled with colocalization analysis to identify loci that are shared between AD and eleven cardiometabolic traits. For each of these loci, we performed colocalization with Genotype-Tissue Expression (GTEx) project expression quantitative trait loci (eQTL) to identify candidate causal genes. We identified three previously unreported pleiotropic trait associations at known AD loci as well as four novel pleiotropic loci. One associated locus was tagged by a low-frequency coding variant in the gene DOCK4 and is potentially implicated in its alternative splicing. Colocalization with GTEx eQTL data identified additional candidate genes for the loci we detected, including ACE, the target of the hypertensive drug class of ACE inhibitors. We found that the allele associated with decreased ACE expression in brain tissue was also associated with increased risk of AD, providing human genetic evidence of a potential increase in AD risk from use of an established anti-hypertensive therapeutic. Our results support a complex genetic relationship between AD and these cardiometabolic traits, and the candidate causal genes identified suggest that blood pressure and immune response play a role in the pleiotropy between these traits.",2021,02,Alzheimer's research & therapy,13,1,34,,10.1186/s13195-021-00773-z,33541420,#1573,Bone 2021,"",""
Genome sequencing analysis identifies new loci associated with Lewy body dementia and provides insights into its genetic architecture.,Chia R.; Sabir MS.; Bandres-Ciga S.; Saez-Atienzar S.; Reynolds RH.; Gustavsson E.; Walton RL.; Ahmed S.; Viollet C.; Ding J.; Makarious MB.; Diez-Fairen M.; Portley MK.; Shah Z.; Abramzon Y.; Hernandez DG.; Blauwendraat C.; Stone DJ.; Eicher J.; Parkkinen L.; Ansorge O.; Clark L.; Honig LS.; Marder K.; Lemstra A.; St George-Hyslop P.; Londos E.; Morgan K.; Lashley T.; Warner TT.; Jaunmuktane Z.; Galasko D.; Santana I.; Tienari PJ.; Myllykangas L.; Oinas M.; Cairns NJ.; Morris JC.; Halliday GM.; Van Deerlin VM.; Trojanowski JQ.; Grassano M.; Calvo A.; Mora G.; Canosa A.; Floris G.; Bohannan RC.; Brett F.; Gan-Or Z.; Geiger JT.; Moore A.; May P.; Krüger R.; Goldstein DS.; Lopez G.; Tayebi N.; Sidransky E.;  .; Norcliffe-Kaufmann L.; Palma JA.; Kaufmann H.; Shakkottai VG.; Perkins M.; Newell KL.; Gasser T.; Schulte C.; Landi F.; Salvi E.; Cusi D.; Masliah E.; Kim RC.; Caraway CA.; Monuki ES.; Brunetti M.; Dawson TM.; Rosenthal LS.; Albert MS.; Pletnikova O.; Troncoso JC.; Flanagan ME.; Mao Q.; Bigio EH.; Rodríguez-Rodríguez E.; Infante J.; Lage C.; González-Aramburu I.; Sanchez-Juan P.; Ghetti B.; Keith J.; Black SE.; Masellis M.; Rogaeva E.; Duyckaerts C.; Brice A.; Lesage S.; Xiromerisiou G.; Barrett MJ.; Tilley BS.; Gentleman S.; Logroscino G.; Serrano GE.; Beach TG.; McKeith IG.; Thomas AJ.; Attems J.; Morris CM.; Palmer L.; Love S.; Troakes C.; Al-Sarraj S.; Hodges AK.; Aarsland D.; Klein G.; Kaiser SM.; Woltjer R.; Pastor P.; Bekris LM.; Leverenz JB.; Besser LM.; Kuzma A.; Renton AE.; Goate A.; Bennett DA.; Scherzer CR.; Morris HR.; Ferrari R.; Albani D.; Pickering-Brown S.; Faber K.; Kukull WA.; Morenas-Rodriguez E.; Lleó A.; Fortea J.; Alcolea D.; Clarimon J.; Nalls MA.; Ferrucci L.; Resnick SM.; Tanaka T.; Foroud TM.; Graff-Radford NR.; Wszolek ZK.; Ferman T.; Boeve BF.; Hardy JA.; Topol EJ.; Torkamani A.; Singleton AB.; Ryten M.; Dickson DW.; Chiò A.; Ross OA.; Gibbs JR.; Dalgard CL.; Traynor BJ.; Scholz SW.,"The genetic basis of Lewy body dementia (LBD) is not well understood. Here, we performed whole-genome sequencing in large cohorts of LBD cases and neurologically healthy controls to study the genetic architecture of this understudied form of dementia, and to generate a resource for the scientific community. Genome-wide association analysis identified five independent risk loci, whereas genome-wide gene-aggregation tests implicated mutations in the gene GBA. Genetic risk scores demonstrate that LBD shares risk profiles and pathways with Alzheimer's disease and Parkinson's disease, providing a deeper molecular understanding of the complex genetic architecture of this age-related neurodegenerative condition.",2021,03,Nature genetics,53,3,294-303,,10.1038/s41588-021-00785-3,33589841,#1627,Chia 2021,"",""
Recent Consanguinity and Outbred Autozygosity Are Associated With Increased Risk of Late-Onset Alzheimer's Disease.,Napolioni V.; Scelsi MA.; Khan RR.; Altmann A.; Greicius MD.,"Prior work in late-onset Alzheimer's disease (LOAD) has resulted in discrepant findings as to whether recent consanguinity and outbred autozygosity are associated with LOAD risk. In the current study, we tested the association between consanguinity and outbred autozygosity with LOAD in the largest such analysis to date, in which 20 LOAD GWAS datasets were retrieved through public databases. Our analyses were restricted to eight distinct ethnic groups: African-Caribbean, Ashkenazi-Jewish European, European-Caribbean, French-Canadian, Finnish European, North-Western European, South-Eastern European, and Yoruba African for a total of 21,492 unrelated subjects (11,196 LOAD and 10,296 controls). Recent consanguinity determination was performed using FSuite v1.0.3, according to subjects' ancestral background. The level of autozygosity in the outbred population was assessed by calculating inbreeding estimates based on the proportion (FROH) and the number (NROH) of runs of homozygosity (ROHs). We analyzed all eight ethnic groups using a fixed-effect meta-analysis, which showed a significant association of recent consanguinity with LOAD (N = 21,481; OR = 1.262, P = 3.6 × 10-4), independently of APOE ∗4 (N = 21,468, OR = 1.237, P = 0.002), and years of education (N = 9,257; OR = 1.274, P = 0.020). Autozygosity in the outbred population was also associated with an increased risk of LOAD, both for F ROH (N = 20,237; OR = 1.204, P = 0.030) and N ROH metrics (N = 20,237; OR = 1.019, P = 0.006), independently of APOE ∗4 [(F ROH, N = 20,225; OR = 1.222, P = 0.029) (N ROH, N = 20,225; OR = 1.019, P = 0.007)]. By leveraging the Alzheimer's Disease Sequencing Project (ADSP) whole-exome sequencing (WES) data, we determined that LOAD subjects do not show an enrichment of rare, risk-enhancing minor homozygote variants compared to the control population. A two-stage recessive GWAS using ADSP data from 201 consanguineous subjects in the discovery phase followed by validation in 10,469 subjects led to the identification of RPH3AL p.A303V (rs117190076) as a rare minor homozygote variant increasing the risk of LOAD [discovery: Genotype Relative Risk (GRR) = 46, P = 2.16 × 10-6; validation: GRR = 1.9, P = 8.0 × 10-4]. These results confirm that recent consanguinity and autozygosity in the outbred population increase risk for LOAD. Subsequent work, with increased samples sizes of consanguineous subjects, should accelerate the discovery of non-additive genetic effects in LOAD.",2020,,Frontiers in genetics,11,,629373,,10.3389/fgene.2020.629373,33584820,#1628,Napolioni 2020,"",""
Longitudinal data in peripheral blood confirm that PM20D1 is a quantitative trait locus (QTL) for Alzheimer's disease and implicate its dynamic role in disease progression.,Wang Q.; Chen Y.; Readhead B.; Chen K.; Su Y.; Reiman EM.; Dudley JT.,"While Alzheimer's disease (AD) remains one of the most challenging diseases to tackle, genome-wide genetic/epigenetic studies reveal many disease-associated risk loci, which sheds new light onto disease heritability, provides novel insights to understand its underlying mechanism and potentially offers easily measurable biomarkers for early diagnosis and intervention. We analyzed whole-genome DNA methylation data collected from peripheral blood in a cohort (n = 649) from the Alzheimer's Disease Neuroimaging Initiative (ADNI) and compared the DNA methylation level at baseline among participants diagnosed with AD (n = 87), mild cognitive impairment (MCI, n = 175) and normal controls (n = 162), to identify differentially methylated regions (DMRs). We also leveraged up to 4 years of longitudinal DNA methylation data, sampled at approximately 1 year intervals to model alterations in methylation levels at DMRs to delineate methylation changes associated with aging and disease progression, by linear mixed-effects (LME) modeling for the unchanged diagnosis groups (AD, MCI and control, respectively) and U-shape testing for those with changed diagnosis (converters). When compared with controls, patients with MCI consistently displayed promoter hypomethylation at methylation QTL (mQTL) gene locus PM20D1. This promoter hypomethylation was even more prominent in patients with mild to moderate AD. This is in stark contrast with previously reported hypermethylation in hippocampal and frontal cortex brain tissues in patients with advanced-stage AD at this locus. From longitudinal data, we show that initial promoter hypomethylation of PM20D1 during MCI and early stage AD is reversed to eventual promoter hypermethylation in late stage AD, which helps to complete a fuller picture of methylation dynamics. We also confirm this observation in an independent cohort from the Religious Orders Study and Memory and Aging Project (ROSMAP) Study using DNA methylation and gene expression data from brain tissues as neuropathological staging (Braak score) advances. Our results confirm that PM20D1 is an mQTL in AD and demonstrate that it plays a dynamic role at different stages of the disease. Further in-depth study is thus warranted to fully decipher its role in the evolution of AD and potentially explore its utility as a blood-based biomarker for AD.",2020,12,Clinical epigenetics,12,1,189,,10.1186/s13148-020-00984-5,33298155,#1629,Wang 2020,"",""
Large-scale sequencing studies expand the known genetic architecture of Alzheimer's disease.,Xue D.; Bush WS.; Renton AE.; Marcora EA.; Bis JC.; Kunkle BW.;  .; Boerwinkle E.; DeStefano AL.; Farrer L.; Goate A.; Mayeux R.; Pericak-Vance M.; Schellenberg G.; Seshadri S.; Wijsman E.; Haines JL.; Blue EE.,"Genes implicated by genome-wide association studies and family-based studies of Alzheimer's disease (AD) are largely discordant. We hypothesized that genes identified by sequencing studies like the Alzheimer's Disease Sequencing Project (ADSP) may bridge this gap and highlight shared biological mechanisms. We performed structured literature review of genes prioritized by ADSP studies, genes underlying familial dementias, and genes nominated by genome-wide association studies. Gene set enrichment analyses of each list identified enriched pathways. The genes prioritized by the ADSP, familial dementia studies, and genome-wide association studies minimally overlapped. Each gene set identified dozens of enriched pathways, several of which were shared (e.g., regulation of amyloid beta clearance). Alternative study designs provide unique insights into AD genetics. Shared pathways enriched by different genes highlight their relevance to AD pathogenesis, while the patterns of pathway enrichment unique to each gene set provide additional targets for functional studies.",2021,,"Alzheimer's & dementia (Amsterdam, Netherlands)",13,1,e12255,,10.1002/dad2.12255,35005195,#1727,Xue 2021,"",""
A polygenic risk score predicts mosaic loss of chromosome Y in circulating blood cells.,Riaz M.; Mattisson J.; Polekhina G.; Bakshi A.; Halvardson J.; Danielsson M.; Ameur A.; McNeil J.; Forsberg LA.; Lacaze P.,"Mosaic loss of Y chromosome (LOY) is the most common somatic change that occurs in circulating white blood cells of older men. LOY in leukocytes is associated with increased risk for all-cause mortality and a range of common disease such as hematological and non-hematological cancer, Alzheimer's disease, and cardiovascular events. Recent genome-wide association studies identified up to 156 germline variants associated with risk of LOY. The objective of this study was to use these variants to calculate a novel polygenic risk score (PRS) for LOY, and to assess the predictive performance of this score in a large independent population of older men. We calculated a PRS for LOY in 5131 men aged 70 years and older. Levels of LOY were estimated using microarrays and validated by whole genome sequencing. After adjusting for covariates, the PRS was a significant predictor of LOY (odds ratio [OR] = 1.74 per standard deviation of the PRS, 95% confidence intervals [CI] 1.62-1.86, p < 0.001). Men in the highest quintile of the PRS distribution had > fivefold higher risk of LOY than the lowest (OR = 5.05, 95% CI 4.05-6.32, p < 0.001). Adding the PRS to a LOY prediction model comprised of age, smoking and alcohol consumption significantly improved prediction (AUC = 0.628 [CI 0.61-0.64] to 0.695 [CI 0.67-0.71], p < 0.001). Our results suggest that a PRS for LOY could become a useful tool for risk prediction and targeted intervention for common disease in men.",2021,Dec,Cell & bioscience,11,1,205,,10.1186/s13578-021-00716-z,34895331,#1615,Riaz 2021,"",""
